consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,584,2024-06-07,0.9983579638752053,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0,1,584,0.9733107553366174,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,2.0
2,562,2024-05-16,0.9773853995621236,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,6.0,2,562,0.956302271483306,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;dagmm;knn,3.0
3,541,2024-04-25,0.9763497536945813,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,8,541,0.927575738916256,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4.0
4,538,2024-04-22,0.9740222359058567,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,4,538,0.9352751094690749,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
5,539,2024-04-23,0.9740083470169678,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,10,539,0.9229421866447728,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,8.0
6,531,2024-04-15,0.9726660509031199,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,12,531,0.915912972085386,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,1.0
7,561,2024-05-15,0.9725473453749316,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,9.0,15,561,0.901261767925561,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
9,527,2024-04-11,0.964427203065134,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0,22,527,0.870168582375479,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;knn,17.0
10,580,2024-06-03,0.9583908045977011,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,5.0,3,580,0.9488936781609195,4,1,tsnet;dagmm;knn;kmeans,catch,0,,
12,513,2024-03-28,0.9565028735632183,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,7.0,7,513,0.9287201012588945,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
13,486,2024-03-01,0.9525006157635468,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,17,486,0.8855268883415436,5,0,catch;tsnet;dagmm;knn;kmeans,,1,knn,25.0
14,499,2024-03-14,0.9502246168582376,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,4.0,16,499,0.8868640530925014,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,11.0
17,596,2024-06-19,0.9393041871921182,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,24.0,21,596,0.8747721674876847,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,13.0
18,521,2024-04-05,0.9354503968253967,5,0,catch;tsnet;dagmm;knn;kmeans,,1,catch,20.0,18,521,0.8820701286261631,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
19,581,2024-06-04,0.9352853037766831,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,7.0,20,581,0.8758312807881773,4,1,tsnet;dagmm;knn;kmeans,catch,0,,
21,528,2024-04-12,0.9338795840175151,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;knn,7.0,24,528,0.8580166940339353,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
22,471,2024-02-15,0.9266568828680898,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;dagmm;knn,14.0,11,471,0.9175743705528188,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,15.0
24,587,2024-06-10,0.9188382594417078,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,13.0,14,587,0.9055767651888342,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,1.0
