consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,541,2024-04-25,0.9806190476190475,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0,14,541,0.9106396414887794,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2
2,539,2024-04-23,0.976302271483306,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,3.0,22,539,0.8902010125889437,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,4
3,538,2024-04-22,0.9756593459222769,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,2.0,16,538,0.9032287903667214,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,3
4,562,2024-05-16,0.9679642172961138,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0,18,562,0.8996957443897099,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;itrans;ocsvm,5
5,584,2024-06-07,0.9642857142857143,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,1.0,1,584,0.9739326765188834,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1
7,561,2024-05-15,0.9556048850574713,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,1.0,5,561,0.9443726737821565,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,12
8,580,2024-06-03,0.9533949096880132,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,3.0,4,580,0.9581239737274221,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,6
9,588,2024-06-11,0.9494088669950739,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,17.0,19,588,0.8987212643678162,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,8
10,531,2024-04-15,0.9491405993431856,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2.0,21,531,0.892616310892173,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,7
11,582,2024-06-05,0.9435940065681445,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,22.0,2,582,0.9716625615763548,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,3
12,576,2024-05-30,0.9429228243021346,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,8.0,8,576,0.926873973727422,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,10
14,566,2024-05-20,0.939423645320197,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,1.0,24,566,0.8858191023535851,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;itrans,20
16,577,2024-05-31,0.9297557471264367,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,34.0,39,577,0.8541871921182267,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,17
17,581,2024-06-04,0.9232573891625615,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,32.0,9,581,0.9267857142857143,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;ocsvm,17
26,596,2024-06-19,0.9034790640394088,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,13.0,44,596,0.844072249589491,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,8
29,583,2024-06-06,0.8995894909688014,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,16.0,29,583,0.8718308702791462,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,17
35,587,2024-06-10,0.8865106732348111,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,15.0,3,587,0.9669232348111658,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,6
39,594,2024-06-17,0.8782163382594417,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,17.0,32,594,0.868123973727422,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,9
43,569,2024-05-23,0.8681814449917897,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,,49,569,0.8330873015873015,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,40
