consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9983579638752053,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
2,562,2024-05-16,0.9773853995621236,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,6.0
3,541,2024-04-25,0.9763497536945813,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
4,538,2024-04-22,0.9740222359058567,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
5,539,2024-04-23,0.9740083470169678,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
6,531,2024-04-15,0.9726660509031199,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
7,561,2024-05-15,0.9725473453749316,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,9.0
8,563,2024-05-17,0.9695195675971539,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,11.0
9,527,2024-04-11,0.964427203065134,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
10,580,2024-06-03,0.9583908045977011,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,5.0
11,577,2024-05-31,0.9569930213464696,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,12.0
12,513,2024-03-28,0.9565028735632183,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,7.0
13,486,2024-03-01,0.9525006157635468,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
14,499,2024-03-14,0.9502246168582376,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,4.0
15,588,2024-06-11,0.9458230706075534,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,6.0
16,573,2024-05-27,0.94013013136289,5,0,catch;tsnet;dagmm;knn;kmeans,,2,tsnet;kmeans,15.0
17,596,2024-06-19,0.9393041871921182,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,24.0
18,521,2024-04-05,0.9354503968253967,5,0,catch;tsnet;dagmm;knn;kmeans,,1,catch,20.0
19,581,2024-06-04,0.9352853037766831,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,7.0
20,570,2024-05-24,0.9351789819376026,5,0,catch;tsnet;dagmm;knn;kmeans,,1,dagmm,25.0
21,528,2024-04-12,0.9338795840175151,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;knn,7.0
22,471,2024-02-15,0.9266568828680898,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;dagmm;knn,14.0
23,364,2023-10-31,0.9235040366721401,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
24,587,2024-06-10,0.9188382594417078,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,13.0
25,569,2024-05-23,0.9175602764094144,5,0,catch;tsnet;dagmm;knn;kmeans,,0,,
